sa2_code,sa2_name,dhb,dose1_uptake_perc,dose2_uptake_perc
100100,North Cape,Northland,77.5,67.5
100200,Rangaunu Harbour,Northland,72.5,57.5
100300,Inlets Far North District,Northland,97.5,97.5
100400,Karikari Peninsula,Northland,72.5,62.5
100500,Tangonge,Northland,77.5,62.5
100600,Ahipara,Northland,72.5,57.5
100700,Kaitaia East,Northland,67.5,47.5
100800,Kaitaia West,Northland,67.5,47.5
100900,Rangitihi,Northland,67.5,52.5
101000,Oruru-Parapara,Northland,67.5,52.5
101100,Taumarumaru,Northland,82.5,67.5
101200,Herekino-Takahue,Northland,67.5,52.5
101300,Peria,Northland,62.5,47.5
101400,Taemaro-Oruaiti,Northland,72.5,57.5
101500,Whakapaku,Northland,67.5,57.5
101600,Hokianga North,Northland,72.5,57.5
101700,Kohukohu-Broadwood,Northland,72.5,57.5
101800,Whakarara,Northland,77.5,62.5
101900,Kaeo,Northland,67.5,57.5
102000,Omahuta Forest-Horeke,Northland,62.5,42.5
102100,Hokianga South,Northland,62.5,47.5
102200,Lake Manuwai-Kapiro,Northland,82.5,67.5
102300,Okaihau,Northland,77.5,57.5
102400,Rangitane-Purerua,Northland,82.5,67.5
102500,Waipapa,Northland,82.5,67.5
102600,Puketotara,Northland,82.5,67.5
102700,Waima Forest,Northland,62.5,42.5
102800,Riverview,Northland,87.5,77.5
102900,Waipoua Forest,Northland,62.5,52.5
103000,Kerikeri Central,Northland,82.5,72.5
103100,Kerikeri South,Northland,87.5,72.5
103200,Ohaeawai-Waimate North,Northland,77.5,62.5
103300,Puketona-Waitangi,Northland,82.5,67.5
103400,Ngapuhi,Northland,67.5,47.5
103500,Kaikohe,Northland,67.5,47.5
103600,Pakaraka,Northland,77.5,62.5
103700,Haruru,Northland,82.5,67.5
103800,Russell,Northland,87.5,82.5
103900,Paihia,Northland,82.5,67.5
104000,Mataraua Forest,Northland,67.5,47.5
104100,Matawaia-Taumarere,Northland,67.5,52.5
104200,Russell Peninsula,Northland,77.5,72.5
104300,Opua (Far North District),Northland,82.5,72.5
104400,Russell Forest-Rawhiti,Northland,77.5,62.5
104500,Moerewa,Northland,72.5,52.5
104600,Kawakawa,Northland,72.5,57.5
104700,Maromaku,Northland,72.5,52.5
104800,Mangakahia-Hukerenui,Northland,72.5,52.5
104900,Whangaruru,Northland,77.5,62.5
105100,Matarau,Northland,82.5,72.5
105200,Hikurangi,Northland,72.5,57.5
105300,Kauri,Northland,82.5,72.5
105400,Maungatapere,Northland,82.5,72.5
105500,Kamo West,Northland,82.5,72.5
105600,Matapouri-Tutukaka,Northland,82.5,72.5
105700,Kiripaka,Northland,77.5,67.5
105800,Kamo East,Northland,82.5,62.5
105900,Granfield Reserve,Northland,87.5,77.5
106000,Kamo Central,Northland,82.5,72.5
106100,Whau Valley,Northland,82.5,72.5
106200,Tikipunga North,Northland,82.5,67.5
106300,Pukenui,Northland,87.5,77.5
106400,Otangarei,Northland,62.5,42.5
106500,Tikipunga South,Northland,82.5,67.5
106600,Kensington (Whangarei District),Northland,87.5,72.5
106700,Abbey Caves-Glenbervie,Northland,82.5,77.5
106800,Mairtown,Northland,87.5,77.5
106900,Maunu-Horahora,Northland,87.5,72.5
107000,Woodhill-Vinetown,Northland,82.5,67.5
107100,Whangarei Central,Northland,87.5,72.5
107200,Riverside,Northland,82.5,67.5
107300,Raumanga,Northland,67.5,52.5
107400,Tarewa,Northland,67.5,52.5
107500,Morningside (Whangarei District),Northland,77.5,62.5
107600,Ngunguru,Northland,87.5,77.5
107700,Otaika-Portland,Northland,77.5,67.5
107800,Oakleigh-Mangapai,Northland,82.5,67.5
107900,Port-Limeburners,Northland,77.5,67.5
108000,Pataua,Northland,77.5,67.5
108100,Onerahi Park,Northland,87.5,72.5
108200,Sherwood Rise,Northland,82.5,67.5
108300,Onerahi,Northland,77.5,62.5
108400,Inlet Whangarei Harbour,Northland,57.5,47.5
108500,Parua Bay,Northland,87.5,77.5
108600,Bream Bay,Northland,82.5,67.5
108700,Marsden Bay,Northland,87.5,82.5
108800,Ruakaka,Northland,87.5,72.5
108900,Bream Head,Northland,87.5,77.5
109000,Waipu,Northland,82.5,72.5
109100,Kaipara Coastal,Northland,72.5,52.5
109200,Maungaru,Northland,77.5,57.5
109300,Dargaville,Northland,72.5,57.5
109400,Ruawai-Matakohe,Northland,77.5,62.5
109500,Otamatea (Kaipara District),Northland,72.5,57.5
109600,Maungaturoto,Northland,82.5,67.5
109700,Kaiwaka,Northland,72.5,57.5
109800,Mangawhai Rural,Northland,77.5,62.5
109900,Mangawhai Heads,Northland,82.5,72.5
110100,Mangawhai,Northland,82.5,72.5
110200,Okahukura Peninsula,Waitemata,82.5,67.5
110400,Cape Rodney,Waitemata,82.5,67.5
110500,Wellsford,Waitemata,82.5,67.5
110700,South Head,Waitemata,82.5,72.5
110800,Kaipara Hills,Waitemata,82.5,67.5
110900,Dome Valley-Matakana,Waitemata,87.5,72.5
111100,Warkworth West,Waitemata,92.5,77.5
111200,Puhoi Valley,Waitemata,87.5,72.5
111300,Warkworth East,Waitemata,87.5,77.5
111400,Sandspit,Waitemata,87.5,77.5
111500,Tawharanui Peninsula,Waitemata,92.5,82.5
111600,Te Kuru,Waitemata,87.5,77.5
111700,Snells Beach,Waitemata,87.5,77.5
111800,Barrier Islands,Auckland,77.5,72.5
111900,Algies Bay-Scotts Landing,Waitemata,82.5,77.5
112100,Wainui-Waiwera,Waitemata,87.5,77.5
112200,Parakai,Waitemata,82.5,72.5
112300,Helensville Rural,Waitemata,87.5,77.5
